Point,Lat,Long,LL_Elevation,Easting,Northing,NE_Elevation,H_Prec,V_Prec,,,Downstream Reach,Lat,Long,LL_Elevation,Easting,Northing,NE_Elevation,H_Prec,V_Prec,
ISCO2 (BAD),35.86803,-106.52352,2703.021,475300.208,539905.456,2721.969,0.061,0.076,,,GW7,35.8685,-106.52433,2716.352,475227.132,539957.793,2735.297,0.038,0.05,
ISCO2 (GOOD),35.86801,-106.52352,2704.868,475299.784,539903.827,2723.817,0.116,0.064,,,GW6,35.86852,-106.52432,2715.418,475227.861,539960.259,2734.363,0.034,0.049,
MIC2,35.86805,-106.52361,2705.698,475291.522,539907.67,2724.646,0.04,0.091,,,TPROBE6,35.86858,-106.52443,2716.531,475218.077,539967.199,2735.475,0.038,0.055,
ISCO3,35.8684,-106.52424,2713.994,475234.992,539947.039,2732.939,0.037,0.039,,,ISCO4,35.86858,-106.52443,2716.473,475217.888,539967.524,2735.417,0.037,0.049,
MIC3,35.86842,-106.52424,2714.21,475234.627,539948.76,2733.155,0.04,0.049,,,PIEZO 5,35.86859,-106.52447,2717.18,475213.818,539967.728,2736.124,0.051,0.062,
ISCO4,35.86858,-106.52443,2716.473,475217.888,539967.524,2735.417,0.037,0.049,,,GW8,35.8686,-106.52447,2717.669,475214.364,539969.679,2736.613,0.039,0.053,
MIC4,35.86863,-106.52454,2717.763,475208.086,539972.68,2736.707,0.026,0.038,,,GW9,35.86858,-106.52449,2717.452,475212.755,539967.113,2736.397,0.244,0.317,
PIEZO1,35.86786,-106.52333,2702.803,475317.089,539886.423,2721.752,0.036,0.048,,,PIPE4,35.86862,-106.52453,2717.797,475208.679,539971.956,2736.741,0.034,0.039,
PIEZO2 (BAD),35.86786,-106.52333,2702.819,475317.086,539886.405,2721.768,0.038,0.049,,,MIC4,35.86863,-106.52454,2717.763,475208.086,539972.68,2736.707,0.026,0.038,
PIEZO2 (GOOD),35.86796,-106.52349,2704.191,475302.119,539897.75,2723.14,0.06,0.038,,,PIEZO 6,35.86866,-106.52455,2718.171,475207.051,539975.674,2737.114,0.024,0.029,
PIEZO 3,35.86804,-106.52358,2705.213,475294.792,539906.65,2724.161,0.027,0.058,,,,,,,,,,,,
PIEZO 4,35.86841,-106.52424,2714.065,475234.966,539947.602,2733.011,0.036,0.048,,,,,,,,,,,,
PIEZO 5,35.86859,-106.52447,2717.18,475213.818,539967.728,2736.124,0.051,0.062,,,,,,,,,,,,
PIEZO 6,35.86866,-106.52455,2718.171,475207.051,539975.674,2737.114,0.024,0.029,,,,,,,,,,,,
